ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Family_Size,Is_Parent,Customer_Tenure,Monetary,Frequency,Avg_Basket_Value,Premium_Wine_Ratio,Web_Purchase_Ratio,RFM_Spender_Level,Income_Level,R_Score,F_Score,M_Score,Total_RFM_Score,Segment
5524,1957,Bachelor,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,0,0,663,1617,25,64.68,0.39270253555967843,0.32,High Spender,Medium Income,2,4,4,10,Medium Income - High Spender
2174,1954,Bachelor,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,2,1,113,27,6,4.5,0.4074074074074074,0.16666666666666666,Low Spender,Medium Income,3,1,1,5,Medium Income - Low Spender
4141,1965,Bachelor,Partnered,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,0,0,312,776,21,36.95238095238095,0.5489690721649485,0.38095238095238093,Medium Spender,Medium Income,3,3,3,9,Medium Income - Medium Spender
6182,1984,Bachelor,Partnered,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,1,1,139,53,8,6.625,0.20754716981132076,0.25,Low Spender,Low Income,3,1,1,5,Low Income - Low Spender
5324,1981,PhD,Partnered,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,1,1,161,422,19,22.210526315789473,0.4099526066350711,0.2631578947368421,Medium Spender,Medium Income,1,3,3,7,Medium Income - Medium Spender
7446,1967,Master,Partnered,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,1,1,293,716,22,32.54545454545455,0.7262569832402235,0.2727272727272727,High Spender,Medium Income,4,4,3,11,Medium Income - High Spender
965,1971,Bachelor,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,1,1,593,590,21,28.095238095238095,0.3983050847457627,0.3333333333333333,Medium Spender,Medium Income,3,3,3,9,Medium Income - Medium Spender
6177,1985,PhD,Partnered,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,1,1,417,169,10,16.9,0.44970414201183434,0.4,Medium Spender,Low Income,3,2,2,7,Low Income - Medium Spender
4855,1974,PhD,Partnered,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,1,1,388,46,6,7.666666666666667,0.30434782608695654,0.5,Low Spender,Low Income,4,1,1,6,Low Income - Low Spender
5899,1950,PhD,Partnered,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,2,1,108,49,2,24.5,0.5714285714285714,0.5,Low Spender,Low Income,2,1,1,4,Low Income - Low Spender
1994,1983,Bachelor,Partnered,51983.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,1,1,226,19,4,4.75,0.2631578947368421,0.25,Low Spender,Medium Income,4,1,1,6,Medium Income - Low Spender
387,1976,High School,Partnered,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,0,0,593,61,6,10.166666666666666,0.09836065573770492,0.3333333333333333,Low Spender,Low Income,2,1,1,4,Low Income - Low Spender
2125,1959,Bachelor,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,0,0,226,1102,16,68.875,0.17604355716878403,0.1875,Medium Spender,Medium Income,1,3,4,8,Medium Income - Medium Spender
8180,1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,2,1,226,310,15,20.666666666666668,0.7516129032258064,0.4,Low Spender,Medium Income,2,2,2,6,Medium Income - Low Spender
2569,1987,Bachelor,Partnered,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,0,0,627,46,5,9.2,0.06521739130434782,0.2,Low Spender,Low Income,3,1,1,5,Low Income - Low Spender
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,0,0,582,1315,26,50.57692307692308,0.7650190114068441,0.2692307692307692,High Spender,High Income,4,4,4,12,High Income - High Spender
9736,1980,Bachelor,Partnered,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,2,1,552,96,9,10.666666666666666,0.5520833333333334,0.3333333333333333,Low Spender,Medium Income,2,2,2,6,Medium Income - Low Spender
4939,1946,Bachelor,Partnered,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,0,0,667,317,13,24.384615384615383,0.26498422712933756,0.3076923076923077,Medium Spender,Medium Income,4,2,2,8,Medium Income - Medium Spender
6565,1949,Master,Partnered,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1,1,458,1782,26,68.53846153846153,0.5679012345679012,0.4230769230769231,Medium Spender,High Income,1,4,4,9,High Income - Medium Spender
2278,1985,Master,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,1,1,603,133,8,16.625,0.03007518796992481,0.25,Low Spender,Low Income,1,1,2,4,Low Income - Low Spender
9360,1982,Bachelor,Partnered,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,0,0,690,316,12,26.333333333333332,0.2721518987341772,0.3333333333333333,Medium Spender,Medium Income,3,2,2,7,Medium Income - Medium Spender
5376,1979,Bachelor,Partnered,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1,1,539,1730,43,40.23255813953488,0.0005780346820809249,0.0,High Spender,Low Income,3,4,4,11,Low Income - High Spender
1993,1949,PhD,Partnered,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,1,1,553,972,17,57.1764705882353,0.8919753086419753,0.11764705882352941,Medium Spender,Medium Income,2,3,3,8,Medium Income - Medium Spender
4047,1954,PhD,Partnered,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,1,1,169,544,20,27.2,0.7058823529411765,0.3,High Spender,Medium Income,4,3,3,10,Medium Income - High Spender
1409,1951,Bachelor,Partnered,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,1,1,468,444,20,22.2,0.6081081081081081,0.35,Medium Spender,Medium Income,2,3,3,8,Medium Income - Medium Spender
7892,1969,Bachelor,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,0,0,543,75,8,9.375,0.08,0.25,Low Spender,Low Income,1,1,2,4,Low Income - Low Spender
2404,1976,Bachelor,Partnered,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,2,1,398,257,14,18.357142857142858,0.6731517509727627,0.35714285714285715,Medium Spender,Medium Income,4,2,2,8,Medium Income - Medium Spender
5255,1986,Bachelor,Single,51983.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,1,1,494,637,27,23.59259259259259,0.007849293563579277,1.0,High Spender,Medium Income,4,4,3,11,Medium Income - High Spender
9422,1989,Bachelor,Partnered,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,1,1,394,131,9,14.555555555555555,0.2748091603053435,0.2222222222222222,Medium Spender,Medium Income,3,2,2,7,Medium Income - Medium Spender
